"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,12.6540195476421,12.8006748139822,13.1541220833799,13.0022457396401,13.55,12.6743035582602,12.35,12.06665703879,12.6372357124201,13.0491630081018,13.0273751153392,12.4893162392308
"2",2022,12.6540195476421,12.5870338585266,13.1541220833799,13.0022457396401,13.55,12.6743035582602,12.35,12.06665703879,12.7092883524916,12.7333254263728,13.0273751153392,12.4893162392308
"3",2023,12.6540195476421,12.5870338585266,13.1541220833799,13.0022457396401,13.55,12.6743035582602,12.35,12.06665703879,12.6951839113018,12.837814924324,13.0273751153392,12.4893162392308
"4",2024,12.6540195476421,12.5870338585266,13.1541220833799,13.0022457396401,13.55,12.6743035582602,12.35,12.06665703879,12.6994589489406,12.9324001071041,13.0273751153392,12.4893162392308
"5",2025,12.6540195476421,12.5870338585266,13.1541220833799,13.0022457396401,13.55,12.6743035582602,12.35,12.06665703879,12.7311404702152,12.8192252579648,13.0273751153392,12.4893162392308
