"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,65.3677472859521,73.2648536583807,98.7018576059255,88.4992617754372,65.711842234955,59.4811766079551,48.0299803251537,63.6354028209088,80.9129381494547,135.19093904924,84.5957334541097,66.5084462816915
"2",2022,65.257533887079,71.5579289846095,99.6571753509192,88.8247464751533,66.6609393249566,64.2200228293934,56.4826295664837,67.8937154263644,83.5016878587811,124.180806542794,90.4124318666239,70.7067797500891
"3",2023,72.3522697896005,75.7696506703046,88.7301553541721,83.6413751531979,72.7836256194631,70.7203910357231,66.1149296075997,72.6080096314115,80.5409794910099,103.372501843483,83.1286251589118,73.9816227133848
"4",2024,74.1017183367347,76.4255250935272,86.218860851773,82.4203450093889,74.5368103166447,73.4515469377503,70.4954803573619,74.780257223086,80.4036881205028,95.5994487474634,82.6621762433057,75.7797293168685
"5",2025,76.193377495406,77.5714725862763,83.0431947200641,80.9064797647878,76.4027983263596,75.6502745575414,73.8370171391207,76.4227701533803,79.6791314087186,88.803719078567,80.8474540554806,76.9930626697254
