"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,8.10211574713974,8.18572589266792,8.10122980314821,8.06755051835819,8.30552296971666,8.3609472292783,8.44837169206935,8.53702209963937,8.62544123759543,8.56205605588611,8.45226174760664,8.37487074358318
"2",2022,8.28778117906679,8.2922076237403,8.33968132380931,8.33270608554078,8.45500385222966,8.41893417220114,8.4727995263125,8.49382543241224,8.59730923563995,8.50014170954172,8.44164958855649,8.39068428219842
"3",2023,8.35429433086037,8.36921674180646,8.36640216676567,8.35926085582541,8.427145472427,8.42791270175993,8.45494682892978,8.47451463970225,8.51328329294296,8.48014986814993,8.44837426053235,8.42370521573462
"4",2024,8.400834167768,8.40505212975881,8.41223993043041,8.40942402783139,8.44546800706116,8.4396911829781,8.45489826836511,8.46293863392809,8.48907906837855,8.46529843549541,8.44822248360898,8.43404806030686
"5",2025,8.42270053249052,8.42614982625743,8.42736254712663,8.42552603958858,8.44515006436302,8.44392875271139,8.45194285774125,8.45705126322721,8.46955500822954,8.45853280865068,8.449299529885,8.44191714829998
