,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
1,18.4,32.6,39.9,154.7,207.1,125.1,99.5,79.9,83,140.6,107,34.3
2,75.1,38.8,117.5,164,134.9,85.3,149.6,126.8,66.9,108.3,70.1,71.1
3,31.8,86.8,102.6,191.9,110.7,81.8,157.6,113.2,85.8,86.9,43.3,64.8
4,61.9,61.1,27.5,79.5,120.9,191,123.1,150.9,145.8,61,155.2,20.9
5,34.4,15.9,39.8,98,194.9,124,124.8,100.8,78.6,109.6,119.4,47.2
6,18.3,73.5,117.9,93.2,149,250.4,226.3,121.5,91.8,179,74.4,39.1
7,17.3,33.7,87.6,75.6,160.9,90.7,157.7,116.1,104.7,199.2,21.7,45.9
8,0,6.7,16.5,47.1,121.7,213.3,209.7,157.6,121.5,165.2,201.8,72.9
9,26.2,68.9,157.8,39.5,173.3,147.2,247,103.9,107.9,118.7,119.5,89.2
10,52.1,68.3,123.9,143.2,230.5,94.7,161.5,107.8,64.1,136.4,104.9,61.2
11,15,23.5,195,116.6,151.9,171.2,191.4,233.8,92.9,88.6,147.1,54.7
12,40.3,29.1,24.1,81.4,66.6,97.9,285.5,143.7,77.2,34.6,142.8,88.9
13,46.5,24.5,75.7,80,126.3,111.8,145.6,98.7,54.8,77,77.1,23
14,30.7,31.9,42.2,43.9,22.2,41.9,51.3,66.5,72,86,9.9,11
15,1.5,6.1,10.8,97.9,133.4,103.2,71.6,89,20.2,7.6,56.9,71
16,35.4,83.4,113.5,60.6,217,145.9,242.1,107.3,70,131.3,81.4,64.4
17,72.5,49.2,68.3,97.8,131.1,99.3,184.7,120.6,52.3,87.5,78.8,9.5
18,14.5,28,83,89.8,157.1,184.9,141,69.1,36.1,111.4,119.9,100.5
19,80.5,119,190.5,177,121,124.5,135,102,120.5,212,107,45
20,43.5,64.1,89,66,204,142.7,185,151,210.2,96.5,82.3,57
21,5,82,55.2,102,199.5,178.5,152,148,106,88,139,99.1
22,13,24,92,188,148.9,222.1,97.5,216,85.4,82.1,68.3,52.3
23,10,8,148.7,158.5,104.8,81.7,210,123,105,158,170,118
24,45,101,59.5,163,234,193.6,122.9,155,60.3,163,73,48
25,66,60,35,218,220,153,127,83,150,142,118,40
26,43,15,107,116,119,134,99,95,58,175,81,34
27,1.5,48.7,91,116.4,165.7,185,92.1,128,66.1,226.6,120.1,83.7
28,28.1,38.6,73.1,74.9,195.2,152,149.6,153.3,103.6,138.6,187.9,58.3
29,59.4,34.5,138.6,88.5,57.2,142.7,177.2,112.5,57.7,117.2,89.4,17.5
30,0.5,46.3,54.4,259.1,315.9,180.3,188.6,91.9,89,146.9,210.1,83.6
31,21.1,180.6,210,365.8,261.8,115.4,112.8,68.5,91.5,191.5,290,86
32,71,44,229.3,263.7,106.8,129.6,170.5,147,72,163.6,58.4,100.5
33,11.7,49.8,58.2,125,201.6,66,135.9,142.3,NA,NA,220.4,89.5
34,12.8,42,80.4,109.3,113.5,189.8,157.5,109.5,97.1,146.3,141,62.2
35,22.5,49,43,83.5,58.6,190.8,139.3,108.2,74.5,42.6,113.1,16.6
36,23,32,57.7,164.2,161,111.5,160.5,141,118.1,94,232.4,41.5
37,142.5,56,173.5,100,185.8,196.3,153,85,59,88,113,68.5
38,37.5,47.8,89.1,208.9,228.5,179.5,189.5,132,84.5,92,90.3,15.5
39,73.5,14,62.5,203,190.5,176.3,128,133,89,92.5,115,19
40,11,,,,,,,,,,,
