"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,160.799897902281,111.426993011026,137.429516317949,144.805029640165,117.73790209718,54.2561773361489,43.4570707074359,35.0485034548401,51.0978787876809,145.474312351007,182.780955711498,155.144475525641
"2",2022,133.71061134087,111.426993011026,137.429516317949,144.805029640165,117.73790209718,55.2846436928162,43.4570707074359,24.2412821494397,51.0978787876809,145.474312351007,182.780955711498,155.144475525641
"3",2023,106.864121279106,111.426993011026,137.429516317949,144.805029640165,117.73790209718,54.6937308681046,43.4570707074359,28.0131970644614,51.0978787876809,145.474312351007,182.780955711498,155.144475525641
"4",2024,128.617343669567,111.426993011026,137.429516317949,144.805029640165,117.73790209718,55.0332441289371,43.4570707074359,37.2823118848115,51.0978787876809,145.474312351007,182.780955711498,155.144475525641
"5",2025,128.617343669567,111.426993011026,137.429516317949,144.805029640165,117.73790209718,54.8381743158266,43.4570707074359,30.4777084126899,51.0978787876809,145.474312351007,182.780955711498,155.144475525641
