"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,18.7598719019981,18.8486478855842,18.7827446829299,18.5682027843617,18.5981364843222,18.6230801306603,18.672651639919,18.6539915136833,18.69585663852,18.6475502008916,18.6760223170876,18.6177335594212
"2",2022,18.6166275746451,18.6103989788639,18.6055875278035,18.6018707893732,18.5989996919879,18.5967818334135,18.5950685872239,18.5937451428255,18.5927228116007,18.591933083574,18.5913230363201,18.5908517884483
"3",2023,18.5904877599975,18.5902065561536,18.5899893324679,18.5898215320246,18.5896919099317,18.5895917797614,18.5895144314423,18.5894546815942,18.5894085261716,18.5893728721391,18.5893453301957,18.5893240546598
"4",2024,18.5893076197837,18.5892949242092,18.5892851171616,18.5892775414365,18.5892716893581,18.5892671687583,18.589263676696,18.5892609791559,18.5892588953664,18.5892572856856,18.5892560422432,18.5892550817117
"5",2025,18.5892543397225,18.5892537665525,18.5892533237915,18.5892529817685,18.5892527175634,18.5892525134708,18.5892523558139,18.5892522340274,18.5892521399501,18.5892520672774,18.5892520111395,18.5892519677741
