"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,13.605128205128,13.655,13.6925,13.39,13.2475,13.1325,12.6168316755572,13.0926079527728,13.0769230769231,12.9897435897435,13.018846444302,13.3153846153848
"2",2022,13.605128205128,13.655,13.6925,13.39,13.2475,13.1325,13.0207721176709,13.0926079527728,13.0769230769231,12.9897435897435,13.018846444302,13.3153846153848
"3",2023,13.605128205128,13.655,13.6925,13.39,13.2475,13.1325,13.0207721176709,13.0926079527728,13.0769230769231,12.9897435897435,13.018846444302,13.3153846153848
"4",2024,13.605128205128,13.655,13.6925,13.39,13.2475,13.1325,13.0207721176709,13.0926079527728,13.0769230769231,12.9897435897435,13.018846444302,13.3153846153848
"5",2025,13.605128205128,13.655,13.6925,13.39,13.2475,13.1325,13.0207721176709,13.0926079527728,13.0769230769231,12.9897435897435,13.018846444302,13.3153846153848
