"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,13.3395543280183,13.1626353907804,13.3061760773467,13.204962943603,13.3366966983346,13.2938828923132,13.3468573039054,13.4171396001326,13.4065614174436,13.427662773384,13.4118694910238,13.2673452819553
"2",2022,13.2843812192265,13.2668103688861,13.2830673782903,13.2731425828418,13.2875640968731,13.2835103047402,13.2894278400848,13.2969793077083,13.296118410748,13.2984667876935,13.2969644792444,13.2820490542907
"3",2023,13.2838995164806,13.282132865634,13.2838692243888,13.2828736384015,13.2843998833954,13.2840000599745,13.2846315246721,13.2854286351545,13.285349228559,13.2856007935354,13.2854507202727,13.2839060525432
"4",2024,13.2841018188482,13.2839210574048,13.2841035365056,13.2840017639912,13.2841615624443,13.2841210124737,13.2841873601321,13.2842707401553,13.2842629453313,13.2842894248698,13.2842741076396,13.2841138743186
"5",2025,13.2841343700039,13.2841157195337,13.2841347700075,13.2841242737212,13.2841409294982,13.2841367622589,13.2841436881985,13.2841523754306,13.2841515864115,13.2841543527401,13.2841527740821,13.2841361404015
