"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,25.1980833343349,42.4535897437693,75.258760685641,147.852358900393,161.254358974345,142.94700854718,151.921965807692,136.064230769231,117.937136754091,135.607606839487,110.353247868205,48.7658974355641
"2",2022,25.1980833343349,42.4535897437693,75.258760685641,145.667791086504,161.254358974345,142.94700854718,151.921965807692,136.064230769231,117.937136754091,135.607606839487,110.353247868205,48.7658974355641
"3",2023,25.1980833343349,42.4535897437693,75.258760685641,144.732569054283,161.254358974345,142.94700854718,151.921965807692,136.064230769231,117.937136754091,135.607606839487,110.353247868205,48.7658974355641
"4",2024,25.1980833343349,42.4535897437693,75.258760685641,144.332196841533,161.254358974345,142.94700854718,151.921965807692,136.064230769231,117.937136754091,135.607606839487,110.353247868205,48.7658974355641
"5",2025,25.1980833343349,42.4535897437693,75.258760685641,144.16079593007,161.254358974345,142.94700854718,151.921965807692,136.064230769231,117.937136754091,135.607606839487,110.353247868205,48.7658974355641
