"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,14.5,14.9,14.9717561322161,14.6729039364454,14.75,14.5337766135577,14.2676926271273,14.25,14.725,14.07777778,14.5322020653981,14.3319232214335
"2",2022,14.5,14.9,14.8253454671355,14.6729039364454,14.75,14.5616735105597,14.3108903039016,14.25,14.725,14.07777778,14.4479769970424,14.3047521346538
"3",2023,14.5,14.9,14.8502588808895,14.6729039364454,14.75,14.5815306844658,14.3818308861395,14.25,14.725,14.07777778,14.4707918047254,14.4044384076637
"4",2024,14.5,14.9,14.8931526476761,14.6729039364454,14.75,14.5824844313365,14.4726299214444,14.25,14.725,14.07777778,14.4979593390922,14.4389407827757
"5",2025,14.5,14.9,14.9913875247318,14.6729039364454,14.75,14.6172796272577,14.4558397806538,14.25,14.725,14.07777778,14.4733332159647,14.4663141642016
