"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,35.7022897305791,56.9904818938305,80.0141742591117,74.5465243543686,75.3824754478661,57.5005295282889,46.6283214489962,44.5926999664311,52.8037150212201,72.2390841698069,33.3597225461645,30.5727533622342
"2",2022,34.9881327744061,45.6786351586524,57.2361886460621,54.5615959900683,55.0358225097373,46.1600119416655,40.7857335074744,39.8255349780234,43.9837717805364,53.7488356374268,34.384327816599,33.0488140457329
"3",2023,35.3110418621945,40.7078403476103,46.5377511408958,45.2583720902618,45.5519018592561,41.1748694357419,38.5469342026499,38.1239351128381,40.2577141748643,45.1922344759264,35.5758524783653,34.9653746480853
"4",2024,36.1520528801096,38.9045224686535,41.8733417840617,41.2909045593461,41.4941720752384,39.364384546767,38.108311970586,37.9536565642333,39.0761716394198,41.5977224637011,36.8507572917071,36.6024518699747
"5",2025,37.251867930978,38.6834333933122,40.2230706039291,39.9887721204543,40.1469515299828,39.1397153823087,38.5689202866447,38.5483088258628,39.1656738894588,40.4818900286076,38.1673124407509,38.0999206071186
