"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,39.5221387908642,102.499657705801,259.110337408937,280.769738268945,240.510998195045,210.475283082177,421.350757335247,208.286980566451,376.157324175227,216.942510659209,45.5828924594563,45.4831332865501
"2",2022,40.3544398204293,94.5745016574871,240.736664888698,301.896650226592,234.97974704852,182.521614828424,486.150914189046,216.733691209842,391.282093932949,244.215760425188,56.4088306415564,47.3509192963895
"3",2023,41.6494337921648,99.5874926790454,250.185595826624,294.575523915135,238.976400646639,196.037753353869,460.28821876271,214.79597136653,386.509189872938,234.285193309696,53.4610046805539,48.2062959148729
"4",2024,42.7479904900815,99.1075658126627,247.822381223222,299.332072825739,238.927961997483,191.947797108808,472.916630321929,217.2669835981,390.183885600716,240.149585869982,56.3608596152265,49.4914930961979
"5",2025,43.9299450508754,100.959668931773,250.474038161202,298.961019003609,240.596875875195,195.332545887536,469.203560450632,217.866259239688,390.272134850964,239.308194667428,56.7780691740693,50.5942090423439
