"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,38.893708098264,52.9841015704501,98.5807692307692,213.589743589744,251.415384615438,235.510949455633,227.053846153846,570.1,212.283333333333,236.968677904854,205.311109581418,64.5474358974359
"2",2022,33.8446586593933,52.9841015704501,98.5807692307692,213.589743589744,251.415384615438,235.510949455633,227.053846153846,570.1,212.283333333333,236.968677904854,205.311109581418,64.5474358974359
"3",2023,33.8446586593933,52.9841015704501,98.5807692307692,213.589743589744,251.415384615438,235.510949455633,227.053846153846,570.1,212.283333333333,236.968677904854,205.311109581418,64.5474358974359
"4",2024,33.8446586593933,52.9841015704501,98.5807692307692,213.589743589744,251.415384615438,235.510949455633,227.053846153846,570.1,212.283333333333,236.968677904854,205.311109581418,64.5474358974359
"5",2025,33.8446586593933,52.9841015704501,98.5807692307692,213.589743589744,251.415384615438,235.510949455633,227.053846153846,570.1,212.283333333333,236.968677904854,205.311109581418,64.5474358974359
