,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,32,103,106,NA,NA,100.4,107.5,112.2,40.6,88.3,1.5
8,26.7,31.3,59.6,136.3,113,138.5,150.2,102.6,95.9,114.3,87.3,21.4
9,63.5,90.2,71.5,206.3,182.8,114.6,108.4,86.8,106.7,72.9,36.5,43.7
10,29.6,136.8,153.5,163.4,138,108.9,92.6,64.5,64.5,61.9,48.2,8
11,47.1,71.7,90.2,127.9,123.4,184.8,180.5,54.1,96.7,104.1,55.6,24.2
12,30.6,47.8,134.4,107.4,94.9,155.3,110.6,110.5,46.7,100,26.6,25.4
13,35.6,98.3,140.7,142.6,149.3,203.8,82.2,97.2,112.1,87,28.4,28.8
14,30.3,74.8,92.2,186.9,211.9,125.8,205.2,77.5,93.3,119.9,35.2,44.1
15,30.4,89.5,149.4,175.7,134.4,158.5,122.6,97.8,75.7,59.3,48.1,29.2
16,191.6,113,120.5,292.4,70.4,269.7,180.4,85,180.1,129,97.5,95.9
17,135.2,38,218.1,272.2,249.1,125.6,111.7,58.5,97.9,56.5,10.6,2.1
18,13.8,12.3,56.4,187.4,140.8,166.1,101.5,57.6,91.5,54.5,16.1,26.5
19,25,43.4,51.4,64.8,37.2,41.5,40.5,27.2,94.2,138.8,50.6,34
20,27,20.5,26.2,89.6,89.3,57.5,129.6,66.4,66.1,77.9,112,50.6
21,41.8,55.6,43.1,36.1,111.8,146.1,136,181,113,123,80,25
22,18,95,142,251,326,180,193,79,130,111,38,0
23,1.6,8.9,18.6,12,15.8,34.5,64.2,85.8,136.7,80,25.7,8
24,69.5,90.3,163.2,158.5,217.6,218.3,121.5,66.5,132.7,96.3,13.5,23.3
25,42,50.5,142.2,162.3,97,124.8,80,91.5,129.2,96.8,41.8,107.2
26,8.5,121.1,187.4,173.3,147.5,96,93.4,122.7,81.9,94.1,11.8,8
27,22.9,52.6,109.2,97.3,241.5,84.4,146.4,84.7,99.7,57.3,75.1,17.2
28,41.6,62.5,64.6,182.5,149.9,132,114.9,85.5,68.6,174.7,39.3,52.6
29,25.7,81.1,91.9,53.8,123,171.5,129,77.3,78.5,51.1,7,1.2
30,40.1,60.7,185.1,160.3,157.7,153.2,79.3,90.5,90.6,148.9,94.6,19.9
31,73.5,129.9,203.5,114.2,97.9,130.2,91,88.8,106.6,152.7,70.6,31.4
32,37,102.2,130.8,107,99.3,120.4,101.4,59.8,103.3,52.6,57.6,5.6
33,73.6,68.4,77.6,171.6,118.4,159.4,118.7,101.2,59.1,134.3,76.4,35.8
34,40.9,46.5,165.7,77.1,330.4,220.8,70.1,64.3,69,137.2,69.3,20.3
35,28.6,90,46.8,152.5,339,388,105,91.9,56.1,73.5,15,12.8
36,40.3,39.4,130.2,76.2,103.5,159.5,304.5,275,122.4,107.2,86.4,55.3
37,21.4,106,110.3,228.8,135,143.9,128.4,75.8,103.3,105.7,48.3,40
38,38.3,34.9,89,114.9,163.5,183.2,178.9,67.8,93.2,108.2,25.3,56.8
39,8.7,32,83.7,110.6,183.4,239.3,153.5,86.5,53.9,97.4,,
40,,,,,,,,,,,,
