"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,41.481828782188,67.4909090909091,110.666666666667,142.390909090909,152.896875,154.253125,125.018181818182,89.9636363636364,95.800000000011,103.650668047042,50.521875,29.86875
"2",2022,41.481828782188,67.4909090909091,110.666666666667,142.390909090909,152.896875,154.253125,125.018181818182,89.9636363636364,95.800000000011,100.992183481355,50.521875,29.86875
"3",2023,41.481828782188,67.4909090909091,110.666666666667,142.390909090909,152.896875,154.253125,125.018181818182,89.9636363636364,95.800000000011,107.09147792652,50.521875,29.86875
"4",2024,41.481828782188,67.4909090909091,110.666666666667,142.390909090909,152.896875,154.253125,125.018181818182,89.9636363636364,95.800000000011,102.036546731925,50.521875,29.86875
"5",2025,41.481828782188,67.4909090909091,110.666666666667,142.390909090909,152.896875,154.253125,125.018181818182,89.9636363636364,95.800000000011,103.435575223525,50.521875,29.86875
