"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,14.36694444475,14.9524969455647,14.8828819444998,14.879548611,15.61428571,14.6668399817682,14.1508331708965,14,14.58888889,14.28888889,15.13333333,14.4984935542125
"2",2022,14.36694444475,14.9524969455647,14.8828819444998,14.879548611,15.61428571,14.4983013538312,14.1857527324644,14,14.58888889,14.28888889,15.13333333,14.4984935542125
"3",2023,14.36694444475,14.9524969455647,14.8828819444998,14.879548611,15.61428571,14.6466280308802,14.264029026123,14,14.58888889,14.28888889,15.13333333,14.4984935542125
"4",2024,14.36694444475,14.9524969455647,14.8828819444998,14.879548611,15.61428571,14.7339118139981,14.2353086259295,14,14.58888889,14.28888889,15.13333333,14.4984935542125
"5",2025,14.36694444475,14.9524969455647,14.8828819444998,14.879548611,15.61428571,14.6720462414521,14.1888975100284,14,14.58888889,14.28888889,15.13333333,14.4984935542125
