"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,14.5504169677248,14.4611392688989,14.5876667021381,14.7310476317295,14.9567151319905,14.6256423097335,14.6068378996918,14.9825927257586,15.1570169908639,15.0654569440884,14.9531514702215,14.454641071395
"2",2022,14.1569047048823,14.1434683561543,14.337298215175,14.5674740252107,14.8021301695107,14.4537853953774,14.4863347874886,14.9071486108396,15.0891215765184,15.0007601709168,14.8923160571141,14.4153894346758
"3",2023,14.1249011255503,14.101199991845,14.3252030533456,14.531488659739,14.8047395401532,14.4760099432558,14.4969421207815,14.9481615350281,15.1200921709791,15.0385707324596,14.92933544137,14.4441926958491
"4",2024,14.146795351698,14.1190953107543,14.3390386677561,14.540735532076,14.8131446732335,14.4853109070131,14.5034793738858,14.9517675549018,15.1234425158608,15.0416999971208,14.9322881759887,14.446014458069
"5",2025,14.1483027435893,14.1212725704536,14.3395154467863,14.5426796074986,14.8128499987817,14.4838650577562,14.5027537633506,14.9493031774689,15.1215730925928,15.0394360950384,14.9300752770926,14.4442983638629
