"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,17.3533743703744,17.1997623351401,17.2868241422915,17.0311038272723,17.1181656344237,17.138227597935,17.0771424762869,17.4504671592815,17.3278473004282,17.4299555802131,17.5885831063252,17.3843665467555
"2",2022,17.3875108623017,17.3072750524848,17.3500109599612,17.1616635818693,17.2043994893456,17.2915670370773,17.1939274790739,17.4738305436438,17.3604829702329,17.468594538508,17.5706222352577,17.3543990987076
"3",2023,17.4071728346547,17.3551827292952,17.3839497057011,17.2834178641446,17.3121848405505,17.3385511869386,17.3010971456461,17.4491229842546,17.3950374006055,17.4435791368024,17.5021608287589,17.405077356365
"4",2024,17.4191938936229,17.3894647114909,17.4055738871321,17.3412780322392,17.3573872078803,17.38199720404,17.3524088695797,17.4476080673439,17.4105522254327,17.4451188981936,17.4810005793654,17.4118672338436
"5",2025,17.4262954987596,17.4080425180738,17.4180552797185,17.3810217636977,17.3910345253425,17.4027248902628,17.3874894401351,17.4421534428645,17.4216003649258,17.4403809002608,17.4615564721767,17.4239954015068
