"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,89.0905908366063,98.8433925089744,164.281936267525,239.489535230721,283.420710053846,192.837475353123,181.236489155641,195.605522679744,241.260157789282,274.459746879487,210.91132314359,120.421482577436
"2",2022,77.8915435614677,98.8433925089744,164.281936267525,239.489535230721,283.420710053846,192.837475353123,181.236489155641,195.605522679744,241.260157789282,274.459746879487,210.91132314359,120.421482577436
"3",2023,77.8915435614677,98.8433925089744,164.281936267525,239.489535230721,283.420710053846,192.837475353123,181.236489155641,195.605522679744,241.260157789282,274.459746879487,210.91132314359,120.421482577436
"4",2024,77.8915435614677,98.8433925089744,164.281936267525,239.489535230721,283.420710053846,192.837475353123,181.236489155641,195.605522679744,241.260157789282,274.459746879487,210.91132314359,120.421482577436
"5",2025,77.8915435614677,98.8433925089744,164.281936267525,239.489535230721,283.420710053846,192.837475353123,181.236489155641,195.605522679744,241.260157789282,274.459746879487,210.91132314359,120.421482577436
