"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,71.0367930229027,84.5540359586907,139.934324247051,157.484715800394,104.946531736156,109.117376079867,89.9799300428742,87.3587946694557,126.266122122607,116.62896319956,53.0445477618549,58.6385990767791
"2",2022,81.5934778670398,93.6490227360497,135.473690252594,140.895930444887,108.182637295905,107.020580915968,93.560740593378,87.1774230753804,113.702312402392,118.646788359448,64.7393919172358,64.6092971321114
"3",2023,85.6952153217887,93.6047362648983,123.694290329283,130.833175653926,104.4191886087,105.365836890649,95.2719354598216,92.5002382604195,112.764713883145,111.268815987556,74.9204327491013,76.6272103287863
"4",2024,90.2466246667189,96.4309842924407,118.697119476161,122.574596444025,104.277975265342,104.204834649197,96.9135922834706,94.0724267710177,108.555111260117,109.641133795498,81.6872718299661,82.16893562836
"5",2025,92.9200320712892,97.282003355761,113.490172457905,116.90561694624,103.059731665604,103.332914777621,97.9502201584307,96.2154245937031,106.974213400836,106.839489236288,86.9367033429659,87.6169884614846
