"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,11.1677813254672,10.6401514915428,11.5290132401401,12.0522206350987,12.7013953810571,12.1550625183272,12.0783182620572,12.5126721862278,12.6931893558941,12.412360096363,12.2183396237298,11.6304367269185
"2",2022,10.9990846123998,10.4118730585701,11.4209864326194,11.7266765824925,12.586581966342,12.249446710214,12.0262741379082,12.4707693292067,12.7322698662518,12.4217209997636,12.3654785400139,11.7734299140814
"3",2023,11.0965216074658,10.5376060161315,11.4916076812659,11.898125113861,12.6607142194801,12.2268561095525,12.0712927535448,12.5109691946549,12.734879580219,12.4379162719952,12.3178329714383,11.727572056846
"4",2024,11.0716157713275,10.4995308866912,11.4789434667683,11.8387984609039,12.6463439684038,12.2571807764653,12.0703505403433,12.5122515057071,12.7535420615806,12.4503033700752,12.3597412854805,11.7686617777798
"5",2025,11.103027029395,10.5370375947916,11.5047088155412,11.8861414016124,12.6729074072481,12.2630845881439,12.0907114888817,12.531585527313,12.7648419863783,12.4645048537004,12.3602949723697,11.7695937375971
