"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,86.976249999984,82.3615384615385,111.89358974359,144.501170305563,139.132051282051,96.0421588190959,89.9487179487179,67.9813632160705,67.2987179487179,107.059625134429,91.9591253246549,102.419230769216
"2",2022,86.976249999984,82.3615384615385,111.89358974359,144.501170305563,139.132051282051,97.1977279715632,89.9487179487179,33.9556805393843,67.2987179487179,107.059625134429,111.375893246494,102.419230769216
"3",2023,86.976249999984,82.3615384615385,111.89358974359,144.501170305563,139.132051282051,97.5682729280829,89.9487179487179,55.0885005923968,67.2987179487179,107.059625134429,111.375893246494,102.419230769216
"4",2024,86.976249999984,82.3615384615385,111.89358974359,144.501170305563,139.132051282051,97.6870919226096,89.9487179487179,75.2369784618989,67.2987179487179,107.059625134429,111.375893246494,102.419230769216
"5",2025,86.976249999984,82.3615384615385,111.89358974359,144.501170305563,139.132051282051,97.7251924370328,89.9487179487179,47.6547591201258,67.2987179487179,107.059625134429,111.375893246494,102.419230769216
