"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,159.878288262702,207.619523839344,228.859650956426,371.419601797605,226.747311475485,252.43881797296,165.155588878576,275.78367280639,272.672631993401,223.408185520294,169.69433148126,138.748230973075
"2",2022,196.912546361262,229.654110253488,247.219959556895,346.250404447638,224.402584045256,257.817905923324,170.620918073381,266.988682602474,273.796509997452,220.773123826541,201.322788381727,153.82631835698
"3",2023,207.8404216709,231.772543760323,243.535512348119,315.463951339207,234.532400612993,253.284094786414,199.368459666747,262.443097143458,264.208488370957,232.361546187078,211.902444367752,186.62139119487
"4",2024,221.028385454723,237.98965100119,246.689053071483,297.820330903757,237.722702013603,252.923619056606,211.404040686496,258.587510897109,260.920351130596,236.021773885137,223.624836751562,202.528653545279
"5",2025,228.623101717189,240.823062603968,246.954377390518,283.67880351861,241.403410803933,251.673150676292,222.958266971443,256.034546509502,257.336693461157,240.236384518504,230.588807999119,216.519183352306
