"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,15.59,15.6375,15.7250000000001,16.0175,16.0456485637515,16.0302377562315,16.159132115043,16.2795902995151,16.1872812755657,15.9535244852561,15.7582207964166,15.7920510933735
"2",2022,15.59,15.6375,15.7250000000001,16.0175,16.1363976334188,16.0922521374783,16.1568962123768,16.2795902995151,16.1872812755657,15.9535244852561,15.7582207964166,15.7702846758696
"3",2023,15.59,15.6375,15.7250000000001,16.0175,16.1363976334188,16.1089556684038,16.1578965064506,16.2795902995151,16.1872812755657,15.9535244852561,15.7582207964166,15.762011866654
"4",2024,15.59,15.6375,15.7250000000001,16.0175,16.1363976334188,16.1134547529672,16.1574489967047,16.2795902995151,16.1872812755657,15.9535244852561,15.7582207964166,15.7588676022244
"5",2025,15.59,15.6375,15.7250000000001,16.0175,16.1363976334188,16.1146665782992,16.157649202802,16.2795902995151,16.1872812755657,15.9535244852561,15.7582207964166,15.7576725548656
