"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,15.8640605700226,16.0711007199645,15.9601593438895,15.7537451845225,15.8204069532689,15.8535448479224,15.8764288912024,16.0034851865755,15.8125669574089,16.0692484710781,15.8809053412178,15.9686670963802
"2",2022,15.9338358030818,16.0616099432477,15.9740976842852,15.8388441921771,15.8950199827865,15.9171895822717,15.9236843733659,16.0319021604666,15.8724404444587,16.0483455256,15.9155024571344,15.9223024452977
"3",2023,15.9236453349246,15.9795049261827,15.9460580073273,15.8894750172605,15.9109142002415,15.9204137137762,15.9250770849618,15.9658042452224,15.9057439349304,15.9783813263694,15.9244720136052,15.9376266559944
"4",2024,15.9334205939192,15.9626095727456,15.9437893396794,15.9135830812096,15.9257432855054,15.930791762144,15.9327063332454,15.9559461524843,15.9217575524672,15.9609235651458,15.9315871461073,15.935391575857
"5",2025,15.9346561929543,15.9484448530899,15.939909376979,15.9258208506462,15.9313262512621,15.9336937853929,15.9347341576151,15.9452144250801,15.9297875126388,15.9479725690603,15.9344221060038,15.9369937575062
