,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
1,16.9,15.9,17.3,16.5,16.6,15.3,14.1,15.8,15,16.2,17,16.7
2,16.8,17.1,17.1,17.3,16.9,16.6,15.4,15.7,16.2,16.8,17,16.7
3,16.8,16.8,17,17.1,16.9,15.8,15.5,15.4,15.8,16.6,17,16.9
4,16.5,16.2,16.7,16.6,16.8,15.9,15.1,15.6,16.1,16.9,16.9,16.5
5,17.1,16,17.1,17.2,16.4,15.1,14.5,15.5,16.1,17,16.9,17
6,16.4,16.9,16.6,17,17,15.5,14.7,15.6,15.7,16.7,16.9,16.9
7,16.6,16.6,17.4,17,17,16,16.2,16.1,16.7,17.3,17.4,17
8,17.2,17.5,17.6,17.2,16.9,15.8,15,15.6,16.6,17.1,17.2,16.9
9,16,16.1,16.9,16.7,16,16,15,15.6,16.1,16.5,17.6,17.5
10,16.7,17.1,16.7,16.9,16.4,15.9,15.4,15.5,16.4,17.2,16.7,16.9
11,17,17,17.5,16.8,17.1,16.4,15.3,14.9,16.3,16.4,17.1,17.3
12,17,17.2,17.4,17.3,17,15.9,14.6,15.6,16.1,16.2,17,16.9
13,16.7,16.9,16.3,16.9,17.2,16,15.6,15.6,16.4,16.7,17.5,17.2
14,17,16.6,16.7,16.8,16.8,15.9,15.2,15.2,16.1,16.9,17.2,17.1
15,16.6,17.7,17.1,17.3,16.7,16.7,16.4,17.4,16.5,17.2,17.5,17.2
16,16.7,17,17.1,17.3,16.9,16,15.4,15.9,16.6,16.9,17.4,16.7
17,17.2,16.6,17.1,16.9,16.4,16.8,15.8,15.8,17.2,17.5,17.6,17.4
18,17.3,18.2,17.8,18.3,17.4,16.1,15.9,16.5,17.1,17.4,17.6,17.3
19,16.7,16.7,17.1,16.4,16.3,16.4,15.3,15.7,16.8,16.8,17.8,17.3
20,17,17,17.1,17.1,16.8,16,15.5,15.7,16.3,16.9,17.1,17
21,16.4,16.8,16.8,16.6,16.8,15.4,15.9,15.2,16.3,17.7,17.5,17.8
22,17.4,17.1,17.1,17.2,17,15.7,16,15.7,16.8,16.7,16.8,17.4
23,17.5,17.1,17.3,17.1,16.3,16.5,15.4,16,16.8,17.5,17,17.1
24,18.2,17.3,17,17.1,17,16,16.1,16,16.8,17,17.5,17.4
25,17.3,17.3,17.5,17.7,17.4,16.6,15.9,16,16.6,17.3,17.7,17.5
26,17.1,17.4,17.1,17.2,16.5,16.4,15.9,16.2,16.2,17.2,17,17.4
27,16.6,17.4,17.2,17.5,17.1,15.9,16.2,16.3,16,17,17.1,17.3
28,17,16.7,16.7,17.3,16.7,16.3,15.7,16.1,16.4,17.1,17.5,17.4
29,16.9,17,17,17,16.8,16.4,16.2,16.5,16.9,17.6,18,17.5
30,17.3,17.8,17.9,18.1,18,16.9,16.7,16.6,17.6,17.8,17.7,17.4
31,17.4,17.4,17.5,17.3,17,16.5,16,16.7,16.6,18,17.9,17.5
32,17.3,16.9,NA,NA,NA,16.6,NA,NA,NA,NA,18,17.7
33,17.4,17.1,17.5,17.6,17.7,17.2,16.2,16.8,17.2,18,18.5,17.8
34,17.3,17.2,17.6,17.4,17.4,16.6,16,16.3,17.2,17.5,17.9,17.6
35,16.6,17.8,17.7,17.3,17.2,16.3,16.9,17.1,17.8,17.8,18.2,17.5
36,19.1,17.7,18,18.5,17.6,16.6,16.2,16.8,17.4,18,18.4,18
37,17.3,18.1,17.7,17.6,18,17.4,16.1,17,17.9,17.8,17.6,17.8
38,17.4,17.9,17.5,17.3,16.9,16,15.8,16.5,16.9,17.9,18.1,17.1
39,17.4,17.1,17.4,17.5,17.1,16.7,16,16,17.6,17.3,17.3,17.6
40,17.3,17.7,18,17.7,17,17.2,,,,,,
