"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,17.3942343637818,17.5402784785175,18,17.5846787831795,17.2304738897737,16.7387699385285,16.0948537643288,16.3547030077552,17.4344226128512,17.5905431962267,17.72992484845,17.6541372462859
"2",2022,17.3942343637818,17.5402784785175,18,17.5964435813795,17.2304738897737,16.7387699385285,16.0948537643288,16.2762632023346,17.4344226128512,17.5462241343828,17.72992484845,17.3700154333404
"3",2023,17.3942343637818,17.5402784785175,18,17.5964435813795,17.2304738897737,16.7387699385285,16.0948537643288,16.3973949068104,17.4344226128512,17.6039434088204,17.72992484845,17.8314273646149
"4",2024,17.3942343637818,17.5402784785175,18,17.5964435813795,17.2304738897737,16.7387699385285,16.0948537643288,16.3436196257612,17.4344226128512,17.5767383047632,17.72992484845,17.9491363989951
"5",2025,17.3942343637818,17.5402784785175,18,17.5964435813795,17.2304738897737,16.7387699385285,16.0948537643288,16.3349354106603,17.4344226128512,17.5790580543469,17.72992484845,17.6539940942739
