"","año","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
"1",2021,135.312282868748,159.483613316372,174.416583723571,187.399295534386,195.206074264586,178.176755540176,163.951713624355,148.697839993259,162.028781830544,182.47173139627,161.393846159561,159.34170555361
"2",2022,152.206869512945,152.612514213179,174.8697637208,176.61820073021,186.501056840618,183.300324227081,170.950333297182,149.623035089339,178.078853719662,186.006634891205,190.128456686961,159.905813874195
"3",2023,161.986279061709,167.455304137272,173.23983101522,176.344631915935,179.17707788961,175.005346485089,170.462765323697,164.707882243356,170.81050359452,176.265107236196,171.985277912751,168.220764629963
"4",2024,166.846958344033,167.535873056215,173.163351163293,173.895165104122,176.422781756044,175.248397094324,171.980137658705,166.564605663189,173.617979352317,175.993481973476,176.450653002977,169.256361195229
"5",2025,169.573086675923,170.875791775311,172.789190739732,173.565991774332,174.477987561406,173.413357251012,172.036594774269,170.153018742767,172.293686281699,173.777533732156,172.867006157484,171.235666055457
